Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Suyash Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-,
Yash Thakur,1,-,-,-,-,-,-,-,-,-,-,-,-,
M Theekshana,1,-,-,-,-,-,-,-,-,-,-,-,-,
CV Varun,1,-,-,-,-,-,-,-,-,-,-,-,-,
Yash Dayal,1,-,-,-,-,-,-,-,-,-,-,-,-,
Yudhvir Singh,1,-,-,-,-,-,-,-,-,-,-,-,-,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AM Rahane,2011-2023,37,35,6,1115,105*,38.44,911,122.39,1,7,1,127,15
SR Watson,2008-2019,30,29,6,875,98*,38.04,625,140,0,5,2,87,41
JC Buttler,2018-2025,21,21,4,819,100*,48.17,576,142.18,1,6,1,91,23
SV Samson,2013-2025,28,27,6,804,82*,38.28,574,140.06,0,6,3,69,27
R Dravid,2008-2013,25,24,2,735,75*,33.4,616,119.31,0,5,0,94,13
YBK Jaiswal,2023-2025,13,13,2,546,104*,49.63,348,156.89,1,4,2,60,25
R Parag,2019-2025,14,12,3,390,84*,43.33,253,154.15,0,2,0,29,21
V Kohli,2008-2025,10,10,3,324,113*,46.28,275,117.81,1,1,0,30,7
SPD Smith,2012-2019,8,8,2,314,73*,52.33,255,123.13,0,3,0,32,4
BJ Hodge,2008-2013,17,15,4,304,48*,27.63,221,137.55,0,0,0,23,10
STR Binny,2011-2019,22,15,7,248,41*,31,167,148.5,0,0,1,21,10
RA Tripathi,2018-2023,10,10,3,221,80*,31.57,169,130.76,0,1,0,14,8
YK Pathan,2008-2018,14,12,1,207,68,18.81,146,141.78,0,2,1,19,9
Shubman Gill,2018-2025,5,4,1,198,84,66,139,142.44,0,2,0,17,6
RV Uthappa,2008-2019,7,7,1,198,54,33,149,132.88,0,1,0,25,6
KL Rahul,2018-2024,4,4,1,196,95*,65.33,150,130.66,0,2,0,20,5
J Botha,2011-2012,12,10,4,188,45,31.33,177,106.21,0,0,0,12,2
CH Gayle,2011-2019,5,5,1,188,79,47,116,162.06,0,2,0,20,9
SR Tendulkar,2008-2013,5,5,2,185,89*,61.66,154,120.12,0,2,0,19,2
AL Menaria,2011-2012,14,12,2,183,40,18.3,155,118.06,0,0,1,11,10
RA Jadeja,2008-2023,13,9,5,180,36*,45,139,129.49,0,0,0,15,5
GC Smith,2008-2008,5,5,2,176,75*,58.66,170,103.52,0,1,0,19,2
AB de Villiers,2008-2019,6,5,1,166,59*,41.5,102,162.74,0,2,0,15,5
SA Asnodkar,2008-2008,4,4,0,159,60,39.75,126,126.19,0,2,0,24,2
DA Warner,2011-2024,4,4,0,153,54,38.25,128,119.53,0,1,0,13,4
SK Raina,2008-2019,6,6,0,150,52,25,112,133.92,0,1,0,20,1
LRPL Taylor,2010-2012,9,9,6,150,47*,50,126,119.04,0,0,0,9,6
MS Dhoni,2008-2023,7,6,2,145,58,36.25,111,130.63,0,1,0,7,7
BA Stokes,2018-2019,12,12,2,145,40,14.5,125,116,0,0,2,8,5
V Suryavanshi,2025-2025,2,2,0,135,101,67.5,58,232.75,1,0,0,9,14
TM Dilshan,2008-2012,3,3,2,132,76*,132,97,136.08,0,1,0,19,2
PA Patel,2008-2019,4,4,0,132,67,33,97,136.08,0,1,1,14,3
RR Pant,2018-2025,4,4,1,129,78*,43,85,151.76,0,1,0,11,5
G Gambhir,2008-2018,5,4,1,128,75*,42.66,90,142.22,0,1,1,16,2
DC Jurel,2023-2025,13,9,3,127,35*,21.16,86,147.67,0,0,1,10,5
SO Hetmyer,2019-2025,14,12,4,124,35,15.5,101,122.77,0,0,0,8,6
MK Pandey,2008-2019,5,5,0,124,61,24.8,101,122.77,0,1,0,17,0
N Pooran,2019-2025,4,4,1,116,64*,38.66,83,139.75,0,1,0,9,5
SA Yadav,2018-2024,3,3,0,116,72,38.66,88,131.81,0,1,0,9,4
S Dhawan,2008-2019,5,5,0,115,54,23,79,145.56,0,2,1,17,2
D Padikkal,2023-2025,6,6,2,109,40*,27.25,81,134.56,0,0,1,16,1
M Vijay,2011-2013,3,3,0,108,55,36,95,113.68,0,2,1,8,3
AT Rayudu,2010-2023,7,6,0,107,57,17.83,103,103.88,0,1,2,7,3
Yuvraj Singh,2008-2013,4,4,0,107,57,26.75,72,148.61,0,1,0,8,7
F du Plessis,2019-2024,3,3,0,106,55,35.33,87,121.83,0,1,0,5,4
MEK Hussey,2011-2013,3,3,0,105,46,35,102,102.94,0,0,0,16,0
JH Kallis,2008-2013,5,5,1,105,80*,26.25,106,99.05,0,1,2,9,2
V Sehwag,2008-2013,4,4,0,105,73,26.25,67,156.71,0,1,0,17,1
MJ Lumb,2010-2010,3,3,0,100,83,33.33,57,175.43,0,1,0,19,2
KP Pietersen,2010-2012,2,2,0,98,62,49,63,155.55,0,1,0,13,3
DJ Hussey,2008-2013,3,3,0,96,42,32,71,135.21,0,0,0,6,3
DR Smith,2008-2012,2,2,1,95,87*,95,65,146.15,0,1,0,11,3
K Gowtham,2018-2019,10,8,2,93,33*,15.5,43,216.27,0,0,0,5,8
DPMD Jayawardene,2008-2013,5,5,0,93,44,18.6,84,110.71,0,0,1,12,2
JP Duminy,2010-2012,2,2,1,89,58*,89,58,153.44,0,1,0,7,5
OA Shah,2012-2013,7,7,3,89,28*,22.25,73,121.91,0,0,0,6,3
AC Gilchrist,2008-2013,3,3,0,88,61,29.33,69,127.53,0,1,1,12,2
KD Karthik,2008-2024,7,4,1,85,42*,28.33,72,118.05,0,0,1,6,2
SP Narine,2012-2019,4,4,1,84,47,28,53,158.49,0,0,1,11,4
Y Venugopal Rao,2008-2011,2,2,1,83,60,83,51,162.74,0,1,0,7,5
MK Tiwary,2011-2018,4,3,0,80,59,26.66,70,114.28,0,1,0,8,0
DH Yagnik,2011-2013,12,7,3,80,34,20,60,133.33,0,0,0,10,2
KC Sangakkara,2008-2013,4,4,0,77,44,19.25,51,150.98,0,0,0,10,2
HH Pandya,2018-2024,4,4,1,76,39*,25.33,42,180.95,0,0,0,7,4
AS Raut,2010-2011,7,4,3,76,32*,76,59,128.81,0,0,0,4,4
KS Williamson,2018-2019,2,2,0,76,63,38,57,133.33,0,1,0,9,2
B Sai Sudharsan,2024-2025,2,2,0,74,39,37,59,125.42,0,0,0,7,2
AK Markram,2023-2025,2,2,0,72,66,36,50,144,0,1,0,6,3
GJ Maxwell,2018-2024,3,3,0,72,54,24,48,150,0,1,0,7,4
Q de Kock,2019-2024,2,2,0,69,65,34.5,52,132.69,0,1,0,7,2
MP Stoinis,2018-2024,4,4,1,66,31*,22,64,103.12,0,0,0,4,1
JA Morkel,2008-2012,3,3,2,65,42,65,43,151.16,0,0,0,5,3
PD Salt,2025-2025,1,1,0,65,65,65,33,196.96,0,1,0,5,6
NT Tilak Varma,2024-2024,1,1,0,65,65,65,45,144.44,0,1,0,5,3
BJ Rohrer,2013-2013,1,1,1,64,64*,-,40,160,0,1,0,9,1
MR Marsh,2013-2025,3,3,1,62,35*,31,39,158.97,0,0,0,7,3
NV Ojha,2010-2012,5,5,2,62,44*,20.66,56,110.71,0,0,2,6,2
KA Pollard,2010-2019,6,5,1,61,25,15.25,62,98.38,0,0,0,4,3
DJG Sammy,2013-2013,1,1,0,60,60,60,41,146.34,0,1,0,8,1
Ishan Kishan,2018-2024,2,2,0,58,58,29,45,128.88,0,1,1,4,3
H Klaasen,2018-2023,3,3,0,58,32,19.33,34,170.58,0,0,1,5,3
WP Saha,2008-2023,5,4,2,58,41*,29,48,120.83,0,0,0,6,0
AJ Finch,2011-2013,2,2,0,56,45,28,46,121.73,0,0,0,8,1
M Kaif,2008-2011,8,5,1,56,21,14,60,93.33,0,0,0,6,1
AC Voges,2010-2010,3,2,1,56,28*,56,54,103.7,0,0,0,5,0
Abhishek Sharma,2023-2023,1,1,0,55,55,55,34,161.76,0,1,0,5,2
SC Ganguly,2008-2012,2,2,0,53,51,26.5,43,123.25,0,1,0,4,2
SN Khan,2018-2019,2,2,1,53,46*,53,37,143.24,0,0,0,7,1
A Badoni,2023-2025,3,3,0,52,50,17.33,43,120.93,0,1,0,5,1
PP Chawla,2008-2024,7,5,2,52,24*,17.33,44,118.18,0,0,0,4,1
S Dube,2023-2023,1,1,0,52,52,52,33,157.57,0,1,0,2,4
KR Mayers,2023-2023,1,1,0,51,51,51,42,121.42,0,1,0,4,3
EJG Morgan,2011-2013,2,1,0,51,51,51,38,134.21,0,1,0,3,3
N Rana,2018-2025,5,4,2,51,35*,25.5,37,137.83,0,0,0,4,2
CA Lynn,2018-2019,2,2,0,50,50,25,34,147.05,0,1,1,6,3
DJM Short,2018-2018,2,2,0,50,44,25,46,108.69,0,0,0,6,1
N Wadhera,2024-2024,1,1,0,49,49,49,24,204.16,0,0,0,3,4
Abdul Samad,2023-2025,2,2,2,47,30*,-,17,276.47,0,0,0,0,6
RD Gaikwad,2023-2023,1,1,0,47,47,47,29,162.06,0,0,0,5,1
AD Hales,2018-2018,1,1,0,45,45,45,39,115.38,0,0,0,4,0
IK Pathan,2008-2012,4,3,2,45,24*,45,48,93.75,0,0,0,3,1
LS Livingstone,2019-2025,2,1,0,44,44,44,26,169.23,0,0,0,4,3
Mandeep Singh,2012-2019,4,4,1,44,34,14.66,39,112.82,0,0,0,5,0
NK Patel,2008-2008,3,2,2,44,40*,-,31,141.93,0,0,0,3,1
T Stubbs,2024-2024,1,1,1,44,44*,-,23,191.3,0,0,0,2,3
MM Ali,2018-2023,3,3,1,42,23,21,23,182.6,0,0,0,4,3
SP Goswami,2012-2012,5,3,1,42,23,21,41,102.43,0,0,0,3,0
Rashid Khan,2018-2025,5,3,2,42,24*,42,22,190.9,0,0,0,5,1
PP Shaw,2019-2019,1,1,0,42,42,42,39,107.69,0,0,0,4,1
AD Mathews,2012-2013,2,2,0,41,23,20.5,34,120.58,0,0,0,3,0
ST Jayasuriya,2008-2010,2,2,0,39,38,19.5,39,100,0,0,0,4,0
MF Maharoof,2008-2008,1,1,0,39,39,39,16,243.75,0,0,0,2,4
MA Agarwal,2012-2019,2,2,0,37,22,18.5,41,90.24,0,0,0,3,2
R Ashwin,2011-2024,15,6,2,35,29,8.75,30,116.66,0,0,2,0,3
AA Jhunjhunwala,2010-2012,4,2,0,35,22,17.5,44,79.54,0,0,0,1,1
AM Nayar,2008-2012,2,2,0,35,25,17.5,28,125,0,0,0,3,1
DJ Bravo,2011-2018,4,3,2,34,23*,34,27,125.92,0,0,0,4,0
Anmolpreet Singh,2023-2023,1,1,0,33,33,33,25,132,0,0,0,4,1
Kamran Akmal,2008-2008,2,2,0,33,18,16.5,26,126.92,0,0,0,6,1
RG Sharma,2008-2024,7,6,0,31,13,5.16,50,62,0,0,1,3,0
R Tewatia,2018-2025,4,2,0,31,22,15.5,15,206.66,0,0,0,3,1
AP Dole,2010-2010,2,1,0,30,30,30,18,166.66,0,0,0,2,1
B Lee,2008-2013,4,3,0,30,25,10,19,157.89,0,0,1,3,2
Anuj Rawat,2023-2023,1,1,1,29,29*,-,11,263.63,0,0,0,3,2
DT Christian,2012-2012,1,1,1,29,29*,-,19,152.63,0,0,0,2,1
KM Jadhav,2011-2019,3,3,1,29,23*,14.5,36,80.55,0,0,0,2,0
DJ Hooda,2019-2024,3,3,0,28,26,9.33,18,155.55,0,0,1,2,2
SW Billings,2018-2018,1,1,0,27,27,27,22,122.72,0,0,0,3,0
V Shankar,2018-2024,4,3,0,27,16,9,23,117.39,0,0,0,3,0
R Vinay Kumar,2010-2013,4,2,1,27,22*,27,10,270,0,0,0,1,3
K Goel,2008-2008,1,1,0,26,26,26,21,123.8,0,0,0,3,2
P Kumar,2008-2013,3,3,0,25,15,8.33,14,178.57,0,0,1,2,2
A Mishra,2008-2023,5,2,0,25,21,12.5,33,75.75,0,0,0,2,0
GD Phillips,2023-2023,1,1,0,25,25,25,7,357.14,0,0,0,1,3
JC Archer,2018-2025,14,7,3,24,13*,6,29,82.75,0,0,2,2,0
KK Cooper,2012-2013,9,4,2,24,11*,12,16,150,0,0,1,3,1
M Manhas,2011-2011,1,1,0,24,24,24,19,126.31,0,0,0,1,1
AR Patel,2018-2024,3,2,1,24,15*,24,18,133.33,0,0,0,2,0
YV Takawale,2008-2008,1,1,1,24,24*,-,8,300,0,0,0,4,1
Azhar Mahmood,2013-2013,1,1,0,23,23,23,20,115,0,0,0,3,0
DB Das,2008-2012,2,2,0,23,12,11.5,27,85.18,0,0,0,1,1
CJ Ferguson,2012-2012,1,1,0,23,23,23,26,88.46,0,0,0,2,0
Mohammad Nabi,2024-2024,1,1,0,23,23,23,17,135.29,0,0,0,2,1
SS Tiwary,2010-2013,4,2,1,23,15,23,17,135.29,0,0,0,3,0
MS Bisla,2010-2013,3,3,0,22,20,7.33,21,104.76,0,0,0,4,0
MC Henriques,2013-2013,1,1,0,22,22,22,19,115.78,0,0,0,2,1
MK Lomror,2018-2023,3,3,1,21,11,10.5,23,91.3,0,0,0,1,0
AB Agarkar,2008-2013,2,1,0,20,20,20,13,153.84,0,0,0,1,2
R Bhatia,2011-2013,3,2,0,20,12,10,15,133.33,0,0,0,3,0
S Gopal,2018-2019,11,3,2,20,19*,20,9,222.22,0,0,1,2,1
Bipul Sharma,2010-2012,2,2,1,19,18,19,14,135.71,0,0,0,2,0
HH Gibbs,2008-2008,1,1,0,19,19,19,20,95,0,0,0,2,0
A Mukund,2013-2013,1,1,0,19,19,19,21,90.47,0,0,0,1,0
JD Ryder,2011-2012,2,2,0,19,18,9.5,14,135.71,0,0,0,3,0
R Sathish,2010-2013,3,3,1,19,11,9.5,20,95,0,0,0,2,0
M Shahrukh Khan,2024-2025,2,2,1,19,14,19,10,190,0,0,0,2,1
S Anirudha,2012-2012,1,1,1,18,18*,-,6,300,0,0,0,1,2
DW Steyn,2010-2013,3,1,1,18,18*,-,8,225,0,0,0,2,1
SK Warne,2008-2011,17,3,0,18,11,6,22,81.81,0,0,1,1,0
DS Lehmann,2008-2008,1,1,0,17,17,17,16,106.25,0,0,0,3,0
CH Morris,2013-2019,3,1,1,17,17*,-,7,242.85,0,0,0,2,1
A Symonds,2011-2011,1,1,0,17,17,17,26,65.38,0,0,0,1,0
JP Faulkner,2012-2013,8,4,3,16,11*,16,14,114.28,0,0,0,0,0
JR Hopes,2008-2008,1,1,0,16,16,16,16,100,0,0,0,2,0
KH Pandya,2018-2025,5,4,3,16,7,16,15,106.66,0,0,0,2,0
S Badrinath,2008-2013,3,1,0,15,15,15,14,107.14,0,0,0,3,0
TA Boult,2018-2024,8,1,0,15,15,15,11,136.36,0,0,0,1,1
DJ Jacobs,2011-2011,1,1,0,15,15,15,15,100,0,0,0,0,1
Shakib Al Hasan,2011-2019,3,2,0,15,9,7.5,16,93.75,0,0,0,1,0
A Ashish Reddy,2013-2013,1,1,0,14,14,14,11,127.27,0,0,0,1,0
Mohammed Siraj,2018-2025,5,1,0,14,14,14,12,116.66,0,0,0,2,0
AG Paunikar,2010-2011,3,3,0,14,9,4.66,24,58.33,0,0,1,3,0
TG Southee,2018-2018,1,1,0,14,14,14,17,82.35,0,0,0,2,0
BCJ Cutting,2019-2019,1,1,1,13,13*,-,9,144.44,0,0,0,1,1
Harpreet Singh,2011-2011,1,1,0,13,13,13,19,68.42,0,0,0,0,0
GB Hogg,2012-2012,4,2,1,13,13,13,11,118.18,0,0,0,1,0
SB Styris,2008-2008,1,1,0,13,13,13,11,118.18,0,0,0,0,1
PC Valthaty,2012-2012,1,1,0,13,13,13,15,86.66,0,0,0,2,0
Washington Sundar,2025-2025,1,1,0,13,13,13,8,162.5,0,0,0,0,1
LR Shukla,2008-2013,3,3,0,12,8,4,19,63.15,0,0,0,0,1
Harbhajan Singh,2010-2018,5,2,1,11,10*,11,8,137.5,0,0,0,0,1
MG Johnson,2013-2013,1,1,0,11,11,11,9,122.22,0,0,0,2,0
NL McCullum,2011-2011,1,1,1,11,11*,-,6,183.33,0,0,0,0,1
M Ntini,2008-2008,1,1,0,11,11,11,12,91.66,0,0,0,2,0
SE Rutherford,2019-2019,1,1,0,11,11,11,5,220,0,0,0,1,1
FY Fazal,2010-2010,2,1,0,10,10,10,15,66.66,0,0,0,1,0
Gurkeerat Singh,2013-2013,1,1,0,10,10,10,15,66.66,0,0,0,1,0
JE Root,2023-2023,2,1,0,10,10,10,15,66.66,0,0,0,1,0
MJ Santner,2019-2019,1,1,1,10,10*,-,3,333.33,0,0,0,0,1
CL White,2008-2008,1,1,0,10,10,10,16,62.5,0,0,0,1,0
Abishek Porel,2024-2024,1,1,0,9,9,9,10,90,0,0,0,0,0
AD Nath,2018-2019,2,1,0,9,9,9,13,69.23,0,0,0,1,0
MG Bracewell,2023-2023,1,1,1,9,9*,-,9,100,0,0,0,0,0
SD Chauhan,2024-2024,1,1,0,9,9,9,6,150,0,0,0,0,1
AP Majumdar,2012-2012,1,1,0,9,9,9,8,112.5,0,0,0,2,0
AD Mascarenhas,2008-2008,1,1,0,9,9,9,8,112.5,0,0,0,0,1
Y Nagar,2012-2012,1,1,1,9,9*,-,9,100,0,0,0,1,0
A Nehra,2008-2012,2,1,1,9,9*,-,8,112.5,0,0,0,1,0
DT Patil,2008-2008,1,1,0,9,9,9,12,75,0,0,0,0,0
A Zampa,2023-2023,3,2,0,9,7,4.5,15,60,0,0,0,0,0
RS Bopara,2010-2010,1,1,0,8,8,8,11,72.72,0,0,0,0,0
P Chopra,2018-2019,2,1,0,8,8,8,6,133.33,0,0,0,2,0
DP Conway,2023-2023,1,1,0,8,8,8,16,50,0,0,0,1,0
M Kartik,2011-2013,3,2,2,8,8*,-,9,88.88,0,0,0,0,0
DS Kulkarni,2010-2019,12,2,1,8,5*,8,6,133.33,0,0,0,1,0
A Kumble,2008-2010,2,1,0,8,8,8,8,100,0,0,0,1,0
VVS Laxman,2011-2011,1,1,0,8,8,8,10,80,0,0,0,1,0
SL Malinga,2010-2019,5,2,0,8,7,4,15,53.33,0,0,0,1,0
AA Chavan,2012-2013,4,1,1,7,7*,-,6,116.66,0,0,0,1,0
SE Marsh,2012-2012,1,1,0,7,7,7,6,116.66,0,0,0,1,0
DA Miller,2023-2025,2,1,1,7,7*,-,8,87.5,0,0,0,0,0
Salman Butt,2008-2008,1,1,0,7,7,7,7,100,0,0,0,1,0
DB Ravi Teja,2008-2008,1,1,0,6,6,6,8,75,0,0,0,1,0
M Rawat,2008-2013,6,3,3,6,5*,-,5,120,0,0,0,1,0
KV Sharma,2013-2023,3,1,0,6,6,6,8,75,0,0,0,1,0
C Green,2024-2024,1,1,1,5,5*,-,6,83.33,0,0,0,0,0
Mohammed Shami,2013-2023,4,1,0,5,5,5,10,50,0,0,0,0,0
M Muralidaran,2008-2011,2,2,1,5,5*,5,11,45.45,0,0,1,0,0
NLTC Perera,2011-2013,2,2,0,5,4,2.5,8,62.5,0,0,0,1,0
S Vidyut,2008-2008,1,1,0,5,5,5,10,50,0,0,0,1,0
SS Iyer,2018-2019,2,2,1,4,4,4,5,80,0,0,0,0,0
B Kumar,2012-2025,5,2,0,4,3,2,9,44.44,0,0,0,0,0
RT Ponting,2013-2013,1,1,0,4,4,4,9,44.44,0,0,0,0,0
S Sohal,2008-2008,1,1,0,4,4,4,4,100,0,0,0,0,0
GH Vihari,2013-2013,1,1,0,4,4,4,9,44.44,0,0,0,0,0
MS Wade,2024-2024,1,1,0,4,4,4,6,66.66,0,0,0,0,0
SB Bangar,2008-2008,1,1,0,3,3,3,6,50,0,0,0,0,0
TH David,2024-2025,2,1,0,3,3,3,5,60,0,0,0,0,0
SB Dubey,2024-2025,2,1,1,3,3*,-,3,100,0,0,0,0,0
CA Ingram,2019-2019,1,1,1,3,3*,-,5,60,0,0,0,0,0
M Jansen,2023-2023,1,1,1,3,3*,-,2,150,0,0,0,0,0
KK Nair,2018-2018,1,1,0,3,3,3,5,60,0,0,0,0,0
R Rampaul,2013-2013,1,1,0,3,3,3,4,75,0,0,0,0,0
RP Singh,2008-2013,4,2,0,3,2,1.5,4,75,0,0,0,0,0
Sohail Tanvir,2008-2008,5,1,1,3,3*,-,3,100,0,0,0,0,0
AJ Turner,2019-2019,3,3,1,3,3*,1.5,9,33.33,0,0,2,0,0
M Vohra,2013-2013,1,1,0,3,3,3,6,50,0,0,0,0,0
JJ Bumrah,2018-2024,3,1,1,2,2*,-,1,200,0,0,0,0,0
UBT Chand,2011-2011,1,1,0,2,2,2,10,20,0,0,0,0,0
C de Grandhomme,2018-2018,1,1,0,2,2,2,3,66.66,0,0,0,0,0
CM Gautam,2013-2013,1,1,0,2,2,2,3,66.66,0,0,0,0,0
RJ Harris,2013-2013,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
BB McCullum,2012-2012,1,1,0,2,2,2,4,50,0,0,0,0,0
AG Murtaza,2011-2011,1,1,1,2,2*,-,5,40,0,0,0,0,0
PP Ojha,2008-2013,2,2,2,2,1*,-,3,66.66,0,0,0,0,0
PA Reddy,2013-2013,1,1,0,2,2,2,5,40,0,0,0,0,0
Sandeep Sharma,2018-2025,12,2,2,2,2*,-,6,33.33,0,0,0,0,0
Umar Gul,2008-2008,1,1,0,2,2,2,2,100,0,0,0,0,0
RE van der Merwe,2011-2011,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
AB Dinda,2008-2011,2,1,0,1,1,1,3,33.33,0,0,0,0,0
MS Gony,2008-2008,1,1,1,1,1*,-,4,25,0,0,0,0,0
Harmeet Singh,2012-2012,1,1,1,1,1*,-,1,100,0,0,0,0,0
Iqbal Abdulla,2011-2012,2,1,1,1,1*,-,2,50,0,0,0,0,0
Z Khan,2008-2012,4,1,0,1,1,1,5,20,0,0,0,0,0
A Manohar,2023-2024,2,1,0,1,1,1,2,50,0,0,0,0,0
WA Mota,2008-2008,1,1,1,1,1*,-,1,100,0,0,0,0,0
RR Raje,2008-2008,1,1,1,1,1*,-,2,50,0,0,0,0,0
Shahid Afridi,2008-2008,1,1,0,1,1,1,3,33.33,0,0,0,0,0
I Sharma,2008-2025,4,2,2,1,1*,-,1,100,0,0,0,0,0
A Singh,2011-2012,10,1,0,1,1,1,2,50,0,0,0,0,0
S Sreesanth,2008-2013,5,1,1,1,1*,-,2,50,0,0,0,0,0
AJ Tye,2018-2018,1,1,1,1,1*,-,1,100,0,0,0,0,0
JD Unadkat,2013-2019,13,4,2,1,1,0.5,3,33.33,0,0,1,0,0
Yudhvir Singh,2023-2025,2,1,0,1,1,1,1,100,0,0,0,0,0
Abdur Razzak,2008-2008,1,1,1,0,0*,-,2,0,0,0,0,0,0
J Arunkumar,2008-2008,1,1,0,0,0,0,3,0,0,0,1,0,0
KM Asif,2023-2023,1,1,0,0,0,0,2,0,0,0,1,0,0
P Awana,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0
Basil Thampi,2018-2018,1,1,1,0,0*,-,0,-,0,0,0,0,0
RK Bhui,2024-2024,1,1,0,0,0,0,2,0,0,0,1,0,0
YS Chahal,2018-2024,12,1,1,0,0*,-,4,0,0,0,0,0,0
G Coetzee,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
R Dhawan,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0
SP Fleming,2008-2008,1,1,0,0,0,0,2,0,0,0,1,0,0
RV Gomez,2011-2011,1,1,0,0,0,0,1,0,0,0,1,0,0
Joginder Sharma,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
S Kaul,2013-2019,3,1,1,0,0*,-,0,-,0,0,0,0,0
E Lewis,2018-2018,1,1,0,0,0,0,1,0,0,0,1,0,0
MJ McClenaghan,2018-2018,1,1,0,0,0,0,1,0,0,0,1,0,0
VY Mahesh,2008-2012,2,1,1,0,0*,-,1,0,0,0,0,0,0
M Markande,2018-2023,3,1,1,0,0*,-,1,0,0,0,0,0,0
Misbah-ul-Haq,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
C Munro,2018-2018,1,1,0,0,0,0,0,-,0,0,1,0,0
Noor Ahmad,2023-2024,2,1,1,0,0*,-,0,-,0,0,0,0,0
SM Pollock,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
R Sharma,2011-2013,3,2,0,0,0,0,4,0,0,0,2,0,0
SK Trivedi,2008-2013,32,1,1,0,0*,-,0,-,0,0,0,0,0
UT Yadav,2012-2024,5,1,0,0,0,0,1,0,0,0,1,0,0
VR Aaron,2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
KK Ahmed,2019-2024,2,-,-,-,-,-,-,-,-,-,-,-,-
Akash Singh,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Anand Rajan,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
Ankit Sharma,2012-2018,2,-,-,-,-,-,-,-,-,-,-,-,-
Anureet Singh,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
KP Appanna,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
S Aravind,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
KB Arun Karthik,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
M Ashwin,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
Avesh Khan,2023-2025,7,-,-,-,-,-,-,-,-,-,-,-,-
L Balaji,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
UA Birla,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-
DE Bollinger,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
N Burger,2024-2024,3,-,-,-,-,-,-,-,-,-,-,-,-
DL Chahar,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
RD Chahar,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
A Chandila,2012-2013,8,-,-,-,-,-,-,-,-,-,-,-,-
B Chipli,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
SM Curran,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
TK Curran,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
MJ Dagar,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
TU Deshpande,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-
ND Doshi,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
CRD Fernando,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-
JEC Franklin,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
HF Gurney,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
PW Hasaranga,2025-2025,3,-,-,-,-,-,-,-,-,-,-,-,-
JR Hazlewood,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
BW Hilfenhaus,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-
JO Holder,2013-2023,3,-,-,-,-,-,-,-,-,-,-,-,-
Imran Tahir,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
SB Jakati,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
SH Johnson,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-
Kamran Khan,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-
Karim Janat,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
K Kartikeya,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-
AA Kazi,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
Kuldeep Yadav,2018-2024,3,-,-,-,-,-,-,-,-,-,-,-,-
CK Langeveldt,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-
B Laughlin,2018-2018,3,-,-,-,-,-,-,-,-,-,-,-,-
JB Little,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
OC McCoy,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-
