Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
A Manohar,2022-2025,24,-,-,-,-,-,-,-,-,-,-,-,
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SE Marsh,2008-2017,71,-,-,-,-,-,-,-,-,-,-,-,
(Kings XI Punjab),,,,,,,,,,,,,,
DR Martyn,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
A Mhatre,2025-2025,3,-,-,-,-,-,-,-,-,-,-,-,
(Chennai Super Kings),,,,,,,,,,,,,,
DA Miller,2012-2025,140,-,-,-,-,-,-,-,-,-,-,-,
"(Gujarat Titans, Kings XI Punjab, Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,
R Minz,2025-2025,2,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
Misbah-ul-Haq,2008-2008,8,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
MD Mishra,2010-2012,18,-,-,-,-,-,-,-,-,-,-,-,
"(Deccan Chargers, Pune Warriors)",,,,,,,,,,,,,,
T Mishra,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,
(Deccan Chargers),,,,,,,,,,,,,,
Mohammad Ashraful,2009-2009,1,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
EJG Morgan,2010-2021,83,-,-,-,-,-,-,-,-,-,-,-,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
A Mukund,2008-2013,3,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
NS Naik,2016-2020,4,-,-,-,-,-,-,-,-,-,-,-,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,
KK Nair,2013-2025,82,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Delhi Daredevils, Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
NV Ojha,2009-2018,112,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
D Padikkal,2020-2025,73,-,-,-,-,-,-,-,-,-,-,-,
"(Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
TD Paine,2011-2011,2,-,-,-,-,-,-,-,-,-,-,-,
(Pune Warriors),,,,,,,,,,,,,,
MK Pandey,2008-2025,172,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
RR Pant,2016-2025,121,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Delhi Daredevils, Lucknow Super Giants)",,,,,,,,,,,,,,
NK Patel,2008-2009,9,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
PA Patel,2008-2019,139,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Deccan Chargers, Kochi Tuskers Kerala, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
RM Patidar,2021-2025,37,-,-,-,-,-,-,-,-,-,-,-,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
DT Patil,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
AG Paunikar,2010-2011,5,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
RV Pawar,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
MDKJ Perera,2013-2013,2,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
JR Philippe,2020-2020,5,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
LA Pomersbach,2008-2013,17,-,-,-,-,-,-,-,-,-,-,-,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,
RT Ponting,2008-2013,10,-,-,-,-,-,-,-,-,-,-,-,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
N Pooran,2019-2025,85,-,-,-,-,-,-,-,-,-,-,-,
"(Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Prabhsimran Singh,2019-2025,44,-,-,-,-,-,-,-,-,-,-,-,
"(Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,
SS Prabhudessai,2022-2024,11,-,-,-,-,-,-,-,-,-,-,-,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
CA Pujara,2010-2014,30,-,-,-,-,-,-,-,-,-,-,-,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
RJ Quiney,2009-2009,7,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
A Raghuvanshi,2024-2025,19,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Rahmanullah Gurbaz,2023-2025,16,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
KL Rahul,2013-2025,141,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
PBB Rajapaksa,2022-2023,13,-,-,-,-,-,-,-,-,-,-,-,
(Punjab Kings),,,,,,,,,,,,,,
SK Rasheed,2025-2025,4,-,-,-,-,-,-,-,-,-,-,-,
(Chennai Super Kings),,,,,,,,,,,,,,
M Rawat,2008-2013,18,-,-,-,-,-,-,-,-,-,-,-,
"(Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,
AT Rayudu,2010-2023,204,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,
PA Reddy,2012-2013,12,-,-,-,-,-,-,-,-,-,-,-,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,
RD Rickelton,2025-2025,10,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
L Ronchi,2008-2009,5,-,-,-,-,-,-,-,-,-,-,-,
(Mumbai Indians),,,,,,,,,,,,,,
RR Rossouw,2014-2024,22,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,
JJ Roy,2017-2023,21,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Gujarat Lions, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
WP Saha,2008-2024,169,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
N Saini,2012-2012,10,-,-,-,-,-,-,-,-,-,-,-,
(Kings XI Punjab),,,,,,,,,,,,,,
B Sai Sudharsan,2022-2025,34,-,-,-,-,-,-,-,-,-,-,-,
(Gujarat Titans),,,,,,,,,,,,,,
Salman Butt,2008-2008,7,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
PD Salt,2023-2025,30,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
BB Samantray,2012-2013,9,-,-,-,-,-,-,-,-,-,-,-,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Sameer Rizvi,2024-2025,10,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Delhi Capitals)",,,,,,,,,,,,,,
SV Samson,2013-2025,174,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Rajasthan Royals)",,,,,,,,,,,,,,
KC Sangakkara,2008-2013,71,-,-,-,-,-,-,-,-,-,-,-,
"(Deccan Chargers, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Sanvir Singh,2023-2024,6,-,-,-,-,-,-,-,-,-,-,-,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
RR Sarwan,2008-2008,4,-,-,-,-,-,-,-,-,-,-,-,
(Kings XI Punjab),,,,,,,,,,,,,,
TL Seifert,2021-2022,3,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,
OA Shah,2010-2013,23,-,-,-,-,-,-,-,-,-,-,-,
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
PR Shah,2008-2011,16,-,-,-,-,-,-,-,-,-,-,-,
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
SS Shaikh,2009-2009,2,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
MD Shanaka,2023-2023,3,-,-,-,-,-,-,-,-,-,-,-,
(Gujarat Titans),,,,,,,,,,,,,,
BR Sharath,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,
(Gujarat Titans),,,,,,,,,,,,,,
AR Sharma,2024-2025,20,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Punjab Kings)",,,,,,,,,,,,,,
JM Sharma,2022-2025,50,-,-,-,-,-,-,-,-,-,-,-,
"(Punjab Kings, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
KS Sharma,2022-2023,2,-,-,-,-,-,-,-,-,-,-,-,
(Lucknow Super Giants),,,,,,,,,,,,,,
PP Shaw,2018-2024,79,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,
Shivam Singh,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,
(Punjab Kings),,,,,,,,,,,,,,
DR Shorey,2018-2019,2,-,-,-,-,-,-,-,-,-,-,-,
(Chennai Super Kings),,,,,,,,,,,,,,
Shubman Gill,2018-2025,112,-,-,-,-,-,-,-,-,-,-,-,
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,
RK Singh,2018-2025,55,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
GC Smith,2008-2011,29,-,-,-,-,-,-,-,-,-,-,-,
"(Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,
RS Sodhi,2010-2010,3,-,-,-,-,-,-,-,-,-,-,-,
(Kings XI Punjab),,,,,,,,,,,,,,
S Sohal,2008-2011,22,-,-,-,-,-,-,-,-,-,-,-,
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,
TM Srivastava,2008-2009,7,-,-,-,-,-,-,-,-,-,-,-,
(Kings XI Punjab),,,,,,,,,,,,,,
B Sumanth,2010-2010,5,-,-,-,-,-,-,-,-,-,-,-,
(Deccan Chargers),,,,,,,,,,,,,,
Sunny Singh,2011-2011,6,-,-,-,-,-,-,-,-,-,-,-,
(Kings XI Punjab),,,,,,,,,,,,,,
V Suryavanshi,2025-2025,3,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
T Taibu,2008-2008,3,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
YV Takawale,2008-2014,16,-,-,-,-,-,-,-,-,-,-,-,
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
AP Tare,2010-2017,35,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
X Thalaivan Sargunam,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SS Tiwary,2008-2021,92,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Mumbai Indians, Rising Pune Supergiants, Royal Challengers Bangalore)",,,,,,,,,,,,,,
A Tomar,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
AJ Turner,2019-2024,6,-,-,-,-,-,-,-,-,-,-,-,
"(Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,
RV Uthappa,2008-2022,205,-,-,-,-,-,-,-,-,-,-,-,
"(Chennai Super Kings, Kolkata Knight Riders, Mumbai Indians, Pune Warriors, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
HE van der Dussen,2022-2022,3,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
MN van Wyk,2009-2009,5,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
AU Verma,2025-2025,9,-,-,-,-,-,-,-,-,-,-,-,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Virat Singh,2021-2021,3,-,-,-,-,-,-,-,-,-,-,-,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Vishnu Vinod,2017-2023,6,-,-,-,-,-,-,-,-,-,-,-,
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
M Vohra,2013-2022,55,-,-,-,-,-,-,-,-,-,-,-,
"(Kings XI Punjab, Lucknow Super Giants, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
MS Wade,2011-2024,14,-,-,-,-,-,-,-,-,-,-,-,
"(Delhi Daredevils, Gujarat Titans)",,,,,,,,,,,,,,
AS Yadav,2008-2008,8,-,-,-,-,-,-,-,-,-,-,-,
(Deccan Chargers),,,,,,,,,,,,,,
DH Yagnik,2011-2014,25,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
Yashpal Singh,2009-2009,8,-,-,-,-,-,-,-,-,-,-,-,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Younis Khan,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,
(Rajasthan Royals),,,,,,,,,,,,,,
VH Zol,2014-2014,3,-,-,-,-,-,-,-,-,-,-,-,
(Royal Challengers Bangalore),,,,,,,,,,,,,,
