,,,,,,,,,venue Chennai,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
M Kaif,2008-2010,2,2,0,24,14,12,23,104.34,0,0,0,1,0
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,
A Raghuvanshi,2024-2024,1,1,0,24,24,24,18,133.33,0,0,0,3,1
(Kolkata Knight Riders),,,,,,,,,,,,,,
JD Ryder,2011-2012,2,2,0,24,15,12,21,114.28,0,0,0,3,1
(Pune Warriors),,,,,,,,,,,,,,
M Shahrukh Khan,2021-2023,3,2,1,24,22,24,20,120,0,0,0,0,2
(Punjab Kings),,,,,,,,,,,,,,
UT Yadav,2010-2024,7,5,2,24,12*,8,35,68.57,0,0,1,0,2
"(Delhi Daredevils, Gujarat Titans, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
P Arya,2025-2025,1,1,0,23,23,23,15,153.33,0,0,0,5,0
(Punjab Kings),,,,,,,,,,,,,,
RS Bopara,2010-2015,2,2,0,23,22,11.5,23,100,0,0,0,0,2
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MS Gony,2008-2013,10,5,3,23,15*,11.5,21,109.52,0,0,0,1,2
"(Chennai Super Kings, Kings XI Punjab)",,,,,,,,,,,,,,
KP Pietersen,2010-2010,1,1,1,23,23*,-,14,164.28,0,0,0,2,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
J Yadav,2019-2021,3,2,1,23,23,23,22,104.54,0,0,0,1,0
(Mumbai Indians),,,,,,,,,,,,,,
AN Ahmed,2010-2012,3,2,2,22,18*,-,20,110,0,0,0,1,1
(Mumbai Indians),,,,,,,,,,,,,,
JP Duminy,2011-2015,2,2,0,22,17,11,16,137.5,0,0,0,2,0
"(Deccan Chargers, Delhi Daredevils)",,,,,,,,,,,,,,
JR Hopes,2008-2011,2,2,0,22,14,11,13,169.23,0,0,0,1,1
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,
JM Kemp,2010-2010,2,1,0,22,22,22,16,137.5,0,0,0,1,1
(Chennai Super Kings),,,,,,,,,,,,,,
R Sathish,2010-2013,3,3,1,22,18*,11,27,81.48,0,0,1,1,0
"(Kings XI Punjab, Mumbai Indians)",,,,,,,,,,,,,,
M Jansen,2021-2025,4,4,2,21,17*,10.5,27,77.77,0,0,2,2,0
"(Mumbai Indians, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Z Khan,2011-2012,4,2,1,21,21,21,21,100,0,0,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
AB Agarkar,2008-2011,3,2,1,20,11,20,14,142.85,0,0,0,3,0
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,
ST Jayasuriya,2008-2008,1,1,0,20,20,20,11,181.81,0,0,0,4,0
(Mumbai Indians),,,,,,,,,,,,,,
RR Sarwan,2008-2008,1,1,0,20,20,20,22,90.9,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
Shahid Afridi,2008-2008,1,1,1,20,20*,-,6,333.33,0,0,0,2,2
(Deccan Chargers),,,,,,,,,,,,,,
J Suchith,2015-2021,3,2,1,20,14*,20,21,95.23,0,0,0,2,1
"(Delhi Capitals, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
DE Bollinger,2010-2012,14,2,1,19,16*,19,19,100,0,0,0,1,1
(Chennai Super Kings),,,,,,,,,,,,,,
Y Gnaneswara Rao,2011-2011,1,1,0,19,19,19,17,111.76,0,0,0,3,0
(Kochi Tuskers Kerala),,,,,,,,,,,,,,
DJG Sammy,2013-2013,1,1,0,19,19,19,12,158.33,0,0,0,2,1
(Sunrisers Hyderabad),,,,,,,,,,,,,,
AU Verma,2025-2025,1,1,0,19,19,19,19,100,0,0,0,0,2
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Azhar Mahmood,2012-2012,1,1,0,18,18,18,12,150,0,0,0,0,2
(Kings XI Punjab),,,,,,,,,,,,,,
L Balaji,2008-2013,8,3,0,18,15,6,22,81.81,0,0,1,1,1
"(Chennai Super Kings, Kolkata Knight Riders)",,,,,,,,,,,,,,
HC Brook,2023-2023,1,1,0,18,18,18,13,138.46,0,0,0,3,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
MV Boucher,2008-2008,1,1,0,17,17,17,15,113.33,0,0,0,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
B Chipli,2011-2011,1,1,0,17,17,17,15,113.33,0,0,0,0,0
(Deccan Chargers),,,,,,,,,,,,,,
Naman Dhir,2025-2025,1,1,0,17,17,17,12,141.66,0,0,0,1,0
(Mumbai Indians),,,,,,,,,,,,,,
SM Pollock,2008-2008,1,1,0,17,17,17,15,113.33,0,0,0,0,1
(Mumbai Indians),,,,,,,,,,,,,,
MD Shanaka,2023-2023,1,1,0,17,17,17,16,106.25,0,0,0,1,1
(Gujarat Titans),,,,,,,,,,,,,,
D Wiese,2015-2015,1,1,0,17,17,17,14,121.42,0,0,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
UBT Chand,2013-2013,1,1,0,16,16,16,12,133.33,0,0,0,2,1
(Delhi Daredevils),,,,,,,,,,,,,,
JP Faulkner,2013-2015,2,1,0,16,16,16,13,123.07,0,0,0,2,0
(Rajasthan Royals),,,,,,,,,,,,,,
Joginder Sharma,2008-2008,4,2,1,16,16,16,10,160,0,0,0,1,1
(Chennai Super Kings),,,,,,,,,,,,,,
Mohammad Hafeez,2008-2008,1,1,0,16,16,16,24,66.66,0,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
NL McCullum,2011-2011,1,1,0,15,15,15,16,93.75,0,0,0,0,0
(Pune Warriors),,,,,,,,,,,,,,
Virat Singh,2021-2021,3,2,0,15,11,7.5,26,57.69,0,0,0,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
RD Chahar,2019-2024,9,3,0,14,8,4.66,13,107.69,0,0,1,1,0
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,
MC Henriques,2021-2021,2,1,0,14,14,14,17,82.35,0,0,0,0,0
(Punjab Kings),,,,,,,,,,,,,,
Mohammad Nabi,2021-2021,1,1,0,14,14,14,11,127.27,0,0,0,2,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
AUK Pathan,2011-2011,1,1,0,14,14,14,5,280,0,0,0,2,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
RE van der Merwe,2012-2013,2,1,0,14,14,14,16,87.5,0,0,0,1,0
(Delhi Daredevils),,,,,,,,,,,,,,
JJ van der Wath,2011-2011,1,1,1,14,14*,-,10,140,0,0,0,1,1
(Royal Challengers Bangalore),,,,,,,,,,,,,,
LA Pomersbach,2011-2013,3,3,0,13,7,4.33,16,81.25,0,0,0,1,0
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Ramandeep Singh,2024-2025,3,1,0,13,13,13,12,108.33,0,0,0,0,1
(Kolkata Knight Riders),,,,,,,,,,,,,,
RD Rickelton,2025-2025,1,1,0,13,13,13,7,185.71,0,0,0,3,0
(Mumbai Indians),,,,,,,,,,,,,,
Sikandar Raza,2023-2023,1,1,1,13,13*,-,7,185.71,0,0,0,1,0
(Punjab Kings),,,,,,,,,,,,,,
A Taide,2023-2023,1,1,0,13,13,13,17,76.47,0,0,0,0,0
(Punjab Kings),,,,,,,,,,,,,,
VVS Laxman,2010-2010,1,1,0,12,12,12,11,109.09,0,0,0,2,0
(Deccan Chargers),,,,,,,,,,,,,,
JJ Roy,2023-2023,1,1,0,12,12,12,15,80,0,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
Azmatullah Omarzai,2024-2025,2,1,0,11,11,11,10,110,0,0,0,1,0
"(Gujarat Titans, Punjab Kings)",,,,,,,,,,,,,,
DB Das,2012-2013,2,1,1,11,11*,-,4,275,0,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
WG Jacks,2025-2025,1,1,0,11,11,11,7,157.14,0,0,0,2,0
(Mumbai Indians),,,,,,,,,,,,,,
A Mithun,2011-2011,2,1,0,11,11,11,8,137.5,0,0,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
SK Rasheed,2025-2025,2,2,0,11,11,5.5,13,84.61,0,0,1,1,1
(Chennai Super Kings),,,,,,,,,,,,,,
Anureet Singh,2015-2015,1,1,0,10,10,10,20,50,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
AC Blizzard,2011-2011,1,1,0,10,10,10,11,90.9,0,0,0,2,0
(Mumbai Indians),,,,,,,,,,,,,,
SP Goswami,2008-2012,2,1,0,10,10,10,19,52.63,0,0,0,1,0
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
T Kohler-Cadmore,2024-2024,1,1,0,10,10,10,16,62.5,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
KK Nair,2015-2015,1,1,0,10,10,10,12,83.33,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
Noor Ahmad,2023-2025,7,5,2,10,7*,3.33,19,52.63,0,0,1,1,0
"(Chennai Super Kings, Gujarat Titans)",,,,,,,,,,,,,,
RV Patel,2023-2023,1,1,0,10,10,10,16,62.5,0,0,0,0,0
(Delhi Capitals),,,,,,,,,,,,,,
TL Suman,2010-2013,2,1,1,10,10*,-,5,200,0,0,0,2,0
"(Deccan Chargers, Pune Warriors)",,,,,,,,,,,,,,
X Thalaivan Sargunam,2013-2013,1,1,0,10,10,10,17,58.82,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
JD Unadkat,2019-2025,5,4,1,10,5,3.33,15,66.66,0,0,0,1,0
"(Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MA Wood,2023-2023,1,1,1,10,10*,-,3,333.33,0,0,0,1,1
(Lucknow Super Giants),,,,,,,,,,,,,,
M Ashwin,2019-2021,2,1,0,9,9,9,10,90,0,0,0,1,0
"(Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,
MA Khote,2008-2008,1,1,0,9,9,9,5,180,0,0,0,0,1
(Mumbai Indians),,,,,,,,,,,,,,
B Kumar,2012-2025,13,6,5,9,4*,9,14,64.28,0,0,0,0,0
"(Pune Warriors, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MD Mishra,2011-2011,1,1,0,9,9,9,9,100,0,0,0,1,0
(Pune Warriors),,,,,,,,,,,,,,
R Tewatia,2023-2024,2,2,0,9,6,4.5,16,56.25,0,0,0,1,0
(Gujarat Titans),,,,,,,,,,,,,,
CA Ingram,2011-2019,2,2,0,8,7,4,17,47.05,0,0,0,1,0
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,
AA Jhunjhunwala,2010-2012,2,2,1,8,7,8,5,160,0,0,0,0,1
"(Deccan Chargers, Rajasthan Royals)",,,,,,,,,,,,,,
M Kartik,2008-2013,4,3,2,8,4*,8,8,100,0,0,0,0,0
"(Kolkata Knight Riders, Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,
AB McDonald,2011-2011,1,1,0,8,8,8,7,114.28,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
Mohammed Shami,2013-2025,6,2,0,8,5,4,8,100,0,0,0,1,0
"(Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,
DH Yagnik,2011-2013,2,2,1,8,7,8,9,88.88,0,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
Bipul Sharma,2012-2012,1,1,0,7,7,7,5,140,0,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,,
S Kaul,2013-2021,3,1,1,7,7*,-,9,77.77,0,0,0,0,0
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SL Malinga,2010-2019,5,1,0,7,7,7,5,140,0,0,0,0,1
(Mumbai Indians),,,,,,,,,,,,,,
MR Marsh,2013-2023,2,2,0,7,5,3.5,8,87.5,0,0,0,1,0
"(Delhi Capitals, Pune Warriors)",,,,,,,,,,,,,,
B Akhil,2008-2008,1,1,1,6,6*,-,7,85.71,0,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
FA Allen,2021-2021,2,1,0,6,6,6,11,54.54,0,0,0,0,0
(Punjab Kings),,,,,,,,,,,,,,
JP Inglis,2025-2025,1,1,1,6,6*,-,6,100,0,0,0,1,0
(Punjab Kings),,,,,,,,,,,,,,
SB Jakati,2010-2012,23,1,1,6,6*,-,10,60,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
RT Ponting,2008-2013,2,2,0,6,6,3,11,54.54,0,0,1,0,0
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
R Powell,2024-2024,1,1,0,6,6,6,12,50,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
N Saini,2012-2012,1,1,0,6,6,6,4,150,0,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,,
R Vinay Kumar,2008-2018,7,2,1,6,6*,6,2,300,0,0,1,0,1
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
KB Arun Karthik,2013-2013,1,1,1,5,5*,-,5,100,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
NM Coulter-Nile,2015-2015,1,1,0,5,5,5,4,125,0,0,0,1,0
(Delhi Daredevils),,,,,,,,,,,,,,
SH Johnson,2024-2024,1,1,1,5,5*,-,5,100,0,0,0,1,0
(Gujarat Titans),,,,,,,,,,,,,,
A Kamboj,2025-2025,3,3,1,5,3*,2.5,8,62.5,0,0,1,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
KMDN Kulasekara,2012-2012,3,1,1,5,5*,-,3,166.66,0,0,0,1,0
(Chennai Super Kings),,,,,,,,,,,,,,
JDP Oram,2008-2008,2,1,1,5,5*,-,2,250,0,0,0,1,0
(Chennai Super Kings),,,,,,,,,,,,,,
I Sharma,2008-2023,5,2,2,5,4*,-,4,125,0,0,0,0,0
"(Deccan Chargers, Delhi Capitals, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
DR Shorey,2019-2019,1,1,0,5,5,5,8,62.5,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
JJ Bumrah,2019-2021,7,3,2,4,3*,4,6,66.66,0,0,1,0,0
(Mumbai Indians),,,,,,,,,,,,,,
YS Chahal,2015-2025,9,2,1,4,4,4,12,33.33,0,0,0,0,0
"(Punjab Kings, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,
C de Grandhomme,2019-2019,1,1,0,4,4,4,6,66.66,0,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
FY Fazal,2010-2010,1,1,0,4,4,4,5,80,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
CM Gautam,2015-2015,1,1,0,4,4,4,5,80,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
JO Holder,2013-2023,5,2,0,4,4,2,6,66.66,0,0,1,0,0
"(Chennai Super Kings, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
CJ Jordan,2023-2023,1,1,0,4,4,4,7,57.14,0,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
NJ Maddinson,2015-2015,1,1,0,4,4,4,7,57.14,0,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Misbah-ul-Haq,2008-2008,1,1,0,4,4,4,6,66.66,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
HV Patel,2015-2025,6,3,2,4,4*,4,4,100,0,0,1,0,0
"(Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
BJ Rohrer,2013-2013,1,1,0,4,4,4,5,80,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
KV Sharma,2013-2024,3,1,0,4,4,4,6,66.66,0,0,0,0,0
"(Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,
TA Boult,2015-2025,10,5,4,3,1*,3,7,42.85,0,0,0,0,0
"(Delhi Capitals, Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Iqbal Abdulla,2010-2015,5,3,2,3,3*,3,7,42.85,0,0,1,0,0
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
T Kohli,2008-2008,1,1,0,3,3,3,3,100,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
PN Mankad,2023-2023,1,1,0,3,3,3,6,50,0,0,0,0,0
(Lucknow Super Giants),,,,,,,,,,,,,,
R Minz,2025-2025,1,1,0,3,3,3,9,33.33,0,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
Ravi Bishnoi,2021-2024,4,1,0,3,3,3,6,50,0,0,0,0,0
"(Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,
AS Roy,2019-2024,2,1,1,3,3*,-,3,100,0,0,0,0,0
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
S Tyagi,2010-2010,3,1,1,3,3*,-,4,75,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
DL Vettori,2011-2012,4,3,1,3,2*,1.5,4,75,0,0,1,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
KK Ahmed,2019-2025,11,3,2,2,1*,2,4,50,0,0,0,0,0
"(Chennai Super Kings, Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
Aman Hakim Khan,2023-2023,1,1,1,2,2*,-,3,66.66,0,0,0,0,0
(Delhi Capitals),,,,,,,,,,,,,,
TK Curran,2018-2018,1,1,1,2,2*,-,5,40,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
GB Hogg,2012-2015,2,1,1,2,2*,-,1,200,0,0,0,0,0
"(Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
Imran Tahir,2015-2019,10,2,1,2,2,2,2,100,0,0,0,0,0
"(Chennai Super Kings, Delhi Daredevils)",,,,,,,,,,,,,,
Karanveer Singh,2015-2015,1,1,1,2,2*,-,5,40,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
A Kumble,2008-2010,2,1,1,2,2*,-,1,200,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Parvez Rasool,2015-2015,1,1,1,2,2*,-,2,100,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
RR Powar,2010-2010,1,1,1,2,2*,-,1,200,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
CA Pujara,2011-2012,2,2,0,2,2,1,5,40,0,0,1,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
AS Rajpoot,2013-2013,1,1,1,2,2*,-,6,33.33,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
AS Raut,2010-2010,1,1,1,2,2*,-,4,50,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
L Ronchi,2008-2008,1,1,0,2,2,2,3,66.66,0,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
SE Rutherford,2019-2019,1,1,0,2,2,2,4,50,0,0,0,0,0
(Delhi Capitals),,,,,,,,,,,,,,
NA Saini,2019-2019,1,1,0,2,2,2,3,66.66,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
MM Sharma,2013-2025,16,2,1,2,2*,2,1,200,0,0,1,0,0
"(Chennai Super Kings, Delhi Capitals, Gujarat Titans)",,,,,,,,,,,,,,
J Syed Mohammad,2011-2013,3,1,1,2,2*,-,2,100,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
JE Taylor,2011-2011,1,1,0,2,2,2,1,200,0,0,0,0,0
(Pune Warriors),,,,,,,,,,,,,,
CV Varun,2021-2025,7,1,1,2,2*,-,3,66.66,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
GH Vihari,2013-2013,1,1,0,2,2,2,3,66.66,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
VG Arora,2023-2025,4,1,1,1,1*,-,1,100,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
Arshad Khan,2023-2023,1,1,0,1,1,1,2,50,0,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
Arshdeep Singh,2021-2025,5,1,1,1,1*,-,2,50,0,0,0,0,0
(Punjab Kings),,,,,,,,,,,,,,
GJ Bailey,2015-2015,1,1,0,1,1,1,3,33.33,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
TM Dilshan,2010-2011,2,2,0,1,1,0.5,3,33.33,0,0,1,0,0
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,
K Goel,2008-2008,1,1,0,1,1,1,7,14.28,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
HF Gurney,2019-2019,1,1,1,1,1*,-,5,20,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
MG Johnson,2013-2015,2,1,0,1,1,1,2,50,0,0,0,0,0
"(Kings XI Punjab, Mumbai Indians)",,,,,,,,,,,,,,
R McLaren,2010-2010,1,1,0,1,1,1,3,33.33,0,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
Mujeeb Ur Rahman,2021-2021,1,1,1,1,1*,-,1,100,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
M Muralidaran,2008-2012,14,1,0,1,1,1,2,50,0,0,0,0,0
"(Chennai Super Kings, Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Naveen-ul-Haq,2023-2023,1,1,1,1,1*,-,5,20,0,0,0,0,0
(Lucknow Super Giants),,,,,,,,,,,,,,
A Nehra,2008-2015,11,3,2,1,1*,1,4,25,0,0,1,0,0
"(Chennai Super Kings, Delhi Daredevils, Mumbai Indians, Pune Warriors)",,,,,,,,,,,,,,
V Nigam,2025-2025,1,1,1,1,1*,-,2,50,0,0,0,0,0
(Delhi Capitals),,,,,,,,,,,,,,
PVSN Raju,2025-2025,1,1,1,1,1*,-,1,100,0,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
Sandeep Sharma,2015-2024,6,1,1,1,1*,-,4,25,0,0,0,0,0
"(Kings XI Punjab, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
AR Sharma,2024-2025,2,1,0,1,1,1,1,100,0,0,0,0,0
"(Delhi Capitals, Punjab Kings)",,,,,,,,,,,,,,
R Sharma,2011-2013,3,1,0,1,1,1,1,100,0,0,0,0,0
(Pune Warriors),,,,,,,,,,,,,,
MA Starc,2015-2025,4,2,0,1,1,0.5,10,10,0,0,1,0,0
"(Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Suryansh Shedge,2025-2025,1,1,0,1,1,1,3,33.33,0,0,0,0,0
(Punjab Kings),,,,,,,,,,,,,,
PV Tambe,2015-2015,1,1,1,1,1*,-,1,100,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
AC Thomas,2011-2011,1,1,1,1,1*,-,2,50,0,0,0,0,0
(Pune Warriors),,,,,,,,,,,,,,
A Zampa,2023-2023,1,1,0,1,1,1,1,100,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
VR Aaron,2011-2012,3,1,0,0,0,0,2,0,0,0,1,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
Ankit Sharma,2012-2015,2,1,0,0,0,0,1,0,0,0,1,0,0
"(Deccan Chargers, Rajasthan Royals)",,,,,,,,,,,,,,
Anmolpreet Singh,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
P Awana,2012-2013,2,1,1,0,0*,-,0,-,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
R Bhatia,2008-2015,6,2,1,0,0*,0,2,0,0,0,1,0,0
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,
RR Bhatkal,2012-2012,1,1,0,0,0,0,2,0,0,0,1,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
TU Deshpande,2023-2024,14,1,1,0,0*,-,1,0,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
AB Dinda,2008-2013,3,1,1,0,0*,-,0,-,0,0,0,0,0
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,
SB Dubey,2024-2024,1,1,0,0,0,0,1,0,0,0,1,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
J Fraser-McGurk,2025-2025,1,1,0,0,0,0,5,0,0,0,1,0,0
(Delhi Capitals),,,,,,,,,,,,,,
C Ganapathy,2010-2010,1,1,1,0,0*,-,0,-,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
S Gopal,2019-2019,1,1,0,0,0,0,3,0,0,0,1,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
Sunny Gupta,2012-2012,1,1,0,0,0,0,1,0,0,0,1,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
Gurkeerat Singh,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
U Kaul,2008-2008,1,1,1,0,0*,-,1,0,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
Kuldeep Yadav,2018-2025,4,2,1,0,0*,0,2,0,0,0,1,0,0
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,
B Laughlin,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
Mohammed Siraj,2019-2024,5,2,2,0,0*,-,2,0,0,0,0,0,0
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
Mohsin Khan,2023-2024,2,1,0,0,0,0,7,0,0,0,1,0,0
(Lucknow Super Giants),,,,,,,,,,,,,,
A Mukund,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
DJ Muthuswami,2015-2015,1,1,1,0,0*,-,0,-,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
S Nadeem,2011-2021,2,1,0,0,0,0,1,0,0,0,1,0,0
"(Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,
DG Nalkande,2023-2023,1,1,0,0,0,0,1,0,0,0,1,0,0
(Gujarat Titans),,,,,,,,,,,,,,
DP Nannes,2010-2013,5,1,1,0,0*,-,0,-,0,0,0,0,0
"(Chennai Super Kings, Delhi Daredevils)",,,,,,,,,,,,,,
T Natarajan,2021-2024,5,1,1,0,0*,-,0,-,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
M Ntini,2008-2008,4,1,1,0,0*,-,6,0,0,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
M Prasidh Krishna,2019-2021,4,1,0,0,0,0,2,0,0,0,1,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
R Rampaul,2013-2013,1,1,0,0,0,0,4,0,0,0,1,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
HR Shokeen,2023-2023,1,1,1,0,0*,-,1,0,0,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
VRV Singh,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0
